,0
4,90300
5,90300
6,90300
7,90300
8,90300
9,90300
10,90300
11,90300
12,90300
13,90300
14,90300
15,90300
16,90300
17,90300
18,90300
19,90300
20,90300
21,90300
22,90300
23,90300
24,90300
25,90300
26,90900
27,91100
28,91100
29,91200
30,91300
31,91300
32,91300
33,91400
34,91400
35,91400
36,91400
37,91400
38,91400
39,91400
40,91500
41,91500
42,91700
43,91300
44,91900
45,92000
46,92000
47,92200
48,92200
49,92200
50,92200
51,92300
52,92300
53,92300
54,92400
55,92400
56,92400
57,92600
58,92700
59,92700
